event_id,mag,longitude,latitude,depth (km),code,distance (km),vs30,pga (%g),pgv (cm/s),max_sa(0.3),max_sa(1.0),max_sa(3.0),E-pgv (cm/s),E-sa(0.3) (%g),E-sa(1.0) (%g),E-sa(3.0) (%g),E-pga (%g),N-pgv (cm/s),N-sa(0.3) (%g),N-sa(1.0) (%g),N-sa(3.0) (%g),N-pga (%g)
024gol0iao,3.6,-153.0206,60.0317,114,2704,244.329,348.35,0.0208,0.0054,0.0258,0.0049,0.0003,0.0054,0.0169,0.0049,0.0003,0.0208,0.0044,0.0258,0.0042,0.0003,0.0144
024gol0iao,3.6,-153.0206,60.0317,114,8007,238.231,326.45,0.019,0.006,0.0247,0.0042,0.0005,0.0047,0.0247,0.0028,0.0005,0.018,0.006,0.0218,0.0042,0.0003,0.019
024gol0iao,3.6,-153.0206,60.0317,114,8011,247.943,347.43,0.0403,0.0055,0.0225,0.0025,0.0002,0.0047,0.0225,0.0022,0.0002,0.0403,0.0055,0.0156,0.0025,0.0002,0.0374
024gol0iao,3.6,-153.0206,60.0317,114,8021,237.675,284.21,0.03,0.0119,0.0205,0.0024,0.0003,0.0119,0.0177,0.0024,0.0002,0.03,0.0062,0.0205,0.002,0.0003,0.0199
024gol0iao,3.6,-153.0206,60.0317,114,8025,240.198,272.44,0.027,0.0085,0.0441,0.0037,0.0003,0.006,0.0226,0.0016,0.0003,0.0181,0.0085,0.0441,0.0037,0.0002,0.027
024gol0iao,3.6,-153.0206,60.0317,114,8026,246.255,267.87,0.0407,0.0115,0.0867,0.0029,0.0004,0.0092,0.0704,0.0028,0.0003,0.0249,0.0115,0.0867,0.0029,0.0004,0.0407
024gol0iao,3.6,-153.0206,60.0317,114,8027,241.162,299.3,0.0286,0.0089,0.076,0.0032,0.0003,0.0088,0.0589,0.0031,0.0003,0.0237,0.0089,0.076,0.0032,0.0003,0.0286
024gol0iao,3.6,-153.0206,60.0317,114,8028,247.152,298.78,0.073,null,0.0256,0.0022,0.0005,0.0194,0.0256,0.0014,0.0004,0.0431,0.0307,0.0246,0.0022,0.0005,0.073
024gol0iao,3.6,-153.0206,60.0317,114,8029,243.43,252.51,0.0486,0.0146,0.0189,0.0021,0.0014,0.0146,0.0144,0.0021,0.0014,0.0356,0.0092,0.0189,0.0021,0.0002,0.0486
024gol0iao,3.6,-153.0206,60.0317,114,8030,245.485,261.06,0.0233,0.0071,0.029,0.0019,0.0003,0.0071,0.029,0.0019,0.0003,0.0233,0.0056,0.0258,0.0019,0.0002,0.0222
